Uninstalled 1 package in 0.50ms
Installed 1 package in 1ms
/home/jk/jupyterlab/autoresearch-dgx/.venv/lib/python3.10/site-packages/torch/cuda/__init__.py:283: UserWarning: 
    Found GPU0 NVIDIA GB10 which is of cuda capability 12.1.
    Minimum and Maximum cuda capability supported by this version of PyTorch is
    (8.0) - (12.0)
    
  warnings.warn(
W0526 02:23:46.702000 1984956 .venv/lib/python3.10/site-packages/torch/_inductor/utils.py:1613] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 3,145,728
  value_embeds            : 6,291,456
  lm_head                 : 3,145,728
  transformer_matrices    : 7,078,080
  scalars                 : 8
  total                   : 19,661,000
Estimated FLOPs per token: 8.493581e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011383 | lrm: 1.00 | dt: 4845ms | tok/sec: 6,762 | mfu: 0.3% | epoch: 1 | remaining: 300s    
step 00042 (2.8%) | loss: 5.770633 | lrm: 1.00 | dt: 274ms | tok/sec: 119,381 | mfu: 4.9% | epoch: 1 | remaining: 291s    
step 00043 (2.9%) | loss: 5.743322 | lrm: 1.00 | dt: 273ms | tok/sec: 119,977 | mfu: 4.9% | epoch: 1 | remaining: 291s    
step 00044 (3.0%) | loss: 5.717771 | lrm: 1.00 | dt: 273ms | tok/sec: 120,190 | mfu: 4.9% | epoch: 1 | remaining: 291s    
step 00045 (3.1%) | loss: 5.697645 | lrm: 1.00 | dt: 278ms | tok/sec: 117,724 | mfu: 4.8% | epoch: 1 | remaining: 290s    
step 00046 (3.2%) | loss: 5.667590 | lrm: 1.00 | dt: 274ms | tok/sec: 119,488 | mfu: 4.9% | epoch: 1 | remaining: 290s    
step 00047 (3.3%) | loss: 5.647422 | lrm: 1.00 | dt: 274ms | tok/sec: 119,465 | mfu: 4.9% | epoch: 1 | remaining: 290s    
step 00048 (3.4%) | loss: 5.627870 | lrm: 1.00 | dt: 280ms | tok/sec: 117,068 | mfu: 4.8% | epoch: 1 | remaining: 290s    
step 00049 (3.5%) | loss: 5.615665 | lrm: 1.00 | dt: 273ms | tok/sec: 119,922 | mfu: 4.9% | epoch: 1 | remaining: 289s    
step 00050 (3.6%) | loss: 5.594831 | lrm: 1.00 | dt: 277ms | tok/sec: 118,503 | mfu: 4.8% | epoch: 1 | remaining: 289s    
step 00051 (3.7%) | loss: 5.584949 | lrm: 1.00 | dt: 273ms | tok/sec: 120,089 | mfu: 4.9% | epoch: 1 | remaining: 289s    
step 00052 (3.8%) | loss: 5.571513 | lrm: 1.00 | dt: 280ms | tok/sec: 117,189 | mfu: 4.8% | epoch: 1 | remaining: 288s    
step 00053 (3.8%) | loss: 5.553238 | lrm: 1.00 | dt: 274ms | tok/sec: 119,522 | mfu: 4.9% | epoch: 1 | remaining: 288s    
step 00054 (3.9%) | loss: 5.533917 | lrm: 1.00 | dt: 273ms | tok/sec: 119,854 | mfu: 4.9% | epoch: 1 | remaining: 288s    
step 00055 (4.0%) | loss: 5.519403 | lrm: 1.00 | dt: 275ms | tok/sec: 119,230 | mfu: 4.8% | epoch: 1 | remaining: 288s    
step 00056 (4.1%) | loss: 5.501927 | lrm: 1.00 | dt: 278ms | tok/sec: 118,017 | mfu: 4.8% | epoch: 1 | remaining: 287s    
step 00057 (4.2%) | loss: 5.481743 | lrm: 1.00 | dt: 276ms | tok/sec: 118,777 | mfu: 4.8% | epoch: 1 | remaining: 287s    
step 00058 (4.3%) | loss: 5.478871 | lrm: 1.00 | dt: 274ms | tok/sec: 119,749 | mfu: 4.9% | epoch: 1 | remaining: 287s    
step 00059 (4.4%) | loss: 5.452103 | lrm: 1.00 | dt: 279ms | tok/sec: 117,510 | mfu: 4.8% | epoch: 1 | remaining: 287s    
step 00060 (4.5%) | loss: 5.444511 | lrm: 1.00 | dt: 273ms | tok/sec: 119,847 | mfu: 4.9% | epoch: 1 | remaining: 286s    
step 00061 (4.6%) | loss: 5.437114 | lrm: 1.00 | dt: 275ms | tok/sec: 119,076 | mfu: 4.8% | epoch: 1 | remaining: 286s    
step 00062 (4.7%) | loss: 5.425098 | lrm: 1.00 | dt: 276ms | tok/sec: 118,884 | mfu: 4.8% | epoch: 1 | remaining: 286s    
step 00063 (4.8%) | loss: 5.416926 | lrm: 1.00 | dt: 278ms | tok/sec: 117,771 | mfu: 4.8% | epoch: 1 | remaining: 285s    
step 00064 (4.9%) | loss: 5.400971 | lrm: 1.00 | dt: 277ms | tok/sec: 118,254 | mfu: 4.8% | epoch: 1 | remaining: 285s    
step 00065 (4.9%) | loss: 5.402629 | lrm: 1.00 | dt: 274ms | tok/sec: 119,597 | mfu: 4.9% | epoch: 1 | remaining: 285s    
step 00066 (5.0%) | loss: 5.390365 | lrm: 1.00 | dt: 280ms | tok/sec: 117,071 | mfu: 4.8% | epoch: 1 | remaining: 285s    
step 00067 (5.1%) | loss: 5.386161 | lrm: 1.00 | dt: 273ms | tok/sec: 120,106 | mfu: 4.9% | epoch: 1 | remaining: 284s    
step 00068 (5.2%) | loss: 5.365621 | lrm: 1.00 | dt: 277ms | tok/sec: 118,505 | mfu: 4.8% | epoch: 1 | remaining: 284s    
step 00069 (5.3%) | loss: 5.356295 | lrm: 1.00 | dt: 274ms | tok/sec: 119,787 | mfu: 4.9% | epoch: 1 | remaining: 284s    
step 00070 (5.4%) | loss: 5.346321 | lrm: 1.00 | dt: 279ms | tok/sec: 117,376 | mfu: 4.8% | epoch: 1 | remaining: 284s    
step 00071 (5.5%) | loss: 5.329210 | lrm: 1.00 | dt: 276ms | tok/sec: 118,825 | mfu: 4.8% | epoch: 1 | remaining: 283s    
step 00072 (5.6%) | loss: 5.322760 | lrm: 1.00 | dt: 274ms | tok/sec: 119,795 | mfu: 4.9% | epoch: 1 | remaining: 283s    
step 00073 (5.7%) | loss: 5.308311 | lrm: 1.00 | dt: 274ms | tok/sec: 119,376 | mfu: 4.9% | epoch: 1 | remaining: 283s    
step 00074 (5.8%) | loss: 5.294593 | lrm: 1.00 | dt: 280ms | tok/sec: 116,926 | mfu: 4.8% | epoch: 1 | remaining: 282s    
step 00075 (5.9%) | loss: 5.283284 | lrm: 1.00 | dt: 277ms | tok/sec: 118,282 | mfu: 4.8% | epoch: 1 | remaining: 282s    
step 00076 (6.0%) | loss: 5.287089 | lrm: 1.00 | dt: 271ms | tok/sec: 121,053 | mfu: 4.9% | epoch: 1 | remaining: 282s    
step 00077 (6.0%) | loss: 5.271455 | lrm: 1.00 | dt: 281ms | tok/sec: 116,567 | mfu: 4.7% | epoch: 1 | remaining: 282s    
step 00078 (6.1%) | loss: 5.255117 | lrm: 1.00 | dt: 275ms | tok/sec: 119,131 | mfu: 4.8% | epoch: 1 | remaining: 281s    
step 00079 (6.2%) | loss: 5.237853 | lrm: 1.00 | dt: 275ms | tok/sec: 119,174 | mfu: 4.8% | epoch: 1 | remaining: 281s    
step 00080 (6.3%) | loss: 5.241576 | lrm: 1.00 | dt: 273ms | tok/sec: 120,156 | mfu: 4.9% | epoch: 1 | remaining: 281s    
step 00081 (6.4%) | loss: 5.235109 | lrm: 1.00 | dt: 279ms | tok/sec: 117,329 | mfu: 4.8% | epoch: 1 | remaining: 280s    
step 00082 (6.5%) | loss: 5.224072 | lrm: 1.00 | dt: 275ms | tok/sec: 119,044 | mfu: 4.8% | epoch: 1 | remaining: 280s    
step 00083 (6.6%) | loss: 5.222791 | lrm: 1.00 | dt: 274ms | tok/sec: 119,800 | mfu: 4.9% | epoch: 1 | remaining: 280s    
step 00084 (6.7%) | loss: 5.212228 | lrm: 1.00 | dt: 274ms | tok/sec: 119,609 | mfu: 4.9% | epoch: 1 | remaining: 280s    
step 00085 (6.8%) | loss: 5.210661 | lrm: 1.00 | dt: 280ms | tok/sec: 117,059 | mfu: 4.8% | epoch: 1 | remaining: 279s    
step 00086 (6.9%) | loss: 5.199026 | lrm: 1.00 | dt: 276ms | tok/sec: 118,561 | mfu: 4.8% | epoch: 1 | remaining: 279s    
step 00087 (7.0%) | loss: 5.202321 | lrm: 1.00 | dt: 272ms | tok/sec: 120,341 | mfu: 4.9% | epoch: 1 | remaining: 279s    
step 00088 (7.1%) | loss: 5.192401 | lrm: 1.00 | dt: 281ms | tok/sec: 116,460 | mfu: 4.7% | epoch: 1 | remaining: 279s    
step 00089 (7.2%) | loss: 5.191916 | lrm: 1.00 | dt: 276ms | tok/sec: 118,855 | mfu: 4.8% | epoch: 1 | remaining: 278s    
step 00090 (7.2%) | loss: 5.181246 | lrm: 1.00 | dt: 274ms | tok/sec: 119,439 | mfu: 4.9% | epoch: 1 | remaining: 278s    
step 00091 (7.3%) | loss: 5.169852 | lrm: 1.00 | dt: 272ms | tok/sec: 120,444 | mfu: 4.9% | epoch: 1 | remaining: 278s    
step 00092 (7.4%) | loss: 5.167004 | lrm: 1.00 | dt: 282ms | tok/sec: 116,377 | mfu: 4.7% | epoch: 1 | remaining: 277s    
step 00093 (7.5%) | loss: 5.162873 | lrm: 1.00 | dt: 276ms | tok/sec: 118,799 | mfu: 4.8% | epoch: 1 | remaining: 277s    
step 00094 (7.6%) | loss: 5.145066 | lrm: 1.00 | dt: 276ms | tok/sec: 118,538 | mfu: 4.8% | epoch: 1 | remaining: 277s    
step 00095 (7.7%) | loss: 5.138827 | lrm: 1.00 | dt: 281ms | tok/sec: 116,514 | mfu: 4.7% | epoch: 1 | remaining: 277s    
step 00096 (7.8%) | loss: 5.136382 | lrm: 1.00 | dt: 275ms | tok/sec: 119,335 | mfu: 4.8% | epoch: 1 | remaining: 276s    
step 00097 (7.9%) | loss: 5.117247 | lrm: 1.00 | dt: 272ms | tok/sec: 120,279 | mfu: 4.9% | epoch: 1 | remaining: 276s    
step 00098 (8.0%) | loss: 5.120300 | lrm: 1.00 | dt: 273ms | tok/sec: 119,842 | mfu: 4.9% | epoch: 1 | remaining: 276s    
step 00099 (8.1%) | loss: 5.108723 | lrm: 1.00 | dt: 281ms | tok/sec: 116,448 | mfu: 4.7% | epoch: 1 | remaining: 275s    
step 00100 (8.2%) | loss: 5.091649 | lrm: 1.00 | dt: 272ms | tok/sec: 120,414 | mfu: 4.9% | epoch: 1 | remaining: 275s    
step 00101 (8.3%) | loss: 5.080399 | lrm: 1.00 | dt: 275ms | tok/sec: 119,030 | mfu: 4.8% | epoch: 1 | remaining: 275s    
step 00102 (8.4%) | loss: 5.063792 | lrm: 1.00 | dt: 276ms | tok/sec: 118,563 | mfu: 4.8% | epoch: 1 | remaining: 275s    
step 00103 (8.4%) | loss: 5.049334 | lrm: 1.00 | dt: 277ms | tok/sec: 118,434 | mfu: 4.8% | epoch: 1 | remaining: 274s    
step 00104 (8.5%) | loss: 5.047151 | lrm: 1.00 | dt: 274ms | tok/sec: 119,790 | mfu: 4.9% | epoch: 1 | remaining: 274s    
step 00105 (8.6%) | loss: 5.044307 | lrm: 1.00 | dt: 276ms | tok/sec: 118,630 | mfu: 4.8% | epoch: 1 | remaining: 274s    
step 00106 (8.7%) | loss: 5.039642 | lrm: 1.00 | dt: 281ms | tok/sec: 116,668 | mfu: 4.7% | epoch: 1 | remaining: 274s    
step 00107 (8.8%) | loss: 5.030024 | lrm: 1.00 | dt: 274ms | tok/sec: 119,611 | mfu: 4.9% | epoch: 1 | remaining: 273s    
step 00108 (8.9%) | loss: 5.021551 | lrm: 1.00 | dt: 275ms | tok/sec: 119,047 | mfu: 4.8% | epoch: 1 | remaining: 273s    
step 00109 (9.0%) | loss: 5.025896 | lrm: 1.00 | dt: 278ms | tok/sec: 117,845 | mfu: 4.8% | epoch: 1 | remaining: 273s    
step 00110 (9.1%) | loss: 5.030684 | lrm: 1.00 | dt: 280ms | tok/sec: 117,153 | mfu: 4.8% | epoch: 1 | remaining: 272s    
step 00111 (9.2%) | loss: 5.021499 | lrm: 1.00 | dt: 277ms | tok/sec: 118,401 | mfu: 4.8% | epoch: 1 | remaining: 272s    
step 00112 (9.3%) | loss: 5.021400 | lrm: 1.00 | dt: 275ms | tok/sec: 119,146 | mfu: 4.8% | epoch: 1 | remaining: 272s    
step 00113 (9.4%) | loss: 5.024200 | lrm: 1.00 | dt: 280ms | tok/sec: 116,993 | mfu: 4.8% | epoch: 1 | remaining: 272s    
step 00114 (9.5%) | loss: 5.015732 | lrm: 1.00 | dt: 278ms | tok/sec: 118,049 | mfu: 4.8% | epoch: 1 | remaining: 271s    
step 00115 (9.6%) | loss: 5.003717 | lrm: 1.00 | dt: 276ms | tok/sec: 118,853 | mfu: 4.8% | epoch: 1 | remaining: 271s    
step 00116 (9.6%) | loss: 4.988917 | lrm: 1.00 | dt: 275ms | tok/sec: 119,203 | mfu: 4.8% | epoch: 1 | remaining: 271s    
step 00117 (9.7%) | loss: 4.983479 | lrm: 1.00 | dt: 278ms | tok/sec: 117,847 | mfu: 4.8% | epoch: 1 | remaining: 271s    
step 00118 (9.8%) | loss: 4.971594 | lrm: 1.00 | dt: 279ms | tok/sec: 117,469 | mfu: 4.8% | epoch: 1 | remaining: 270s    
step 00119 (9.9%) | loss: 4.970330 | lrm: 1.00 | dt: 275ms | tok/sec: 119,025 | mfu: 4.8% | epoch: 1 | remaining: 270s    
step 00120 (10.0%) | loss: 4.960569 | lrm: 1.00 | dt: 277ms | tok/sec: 118,213 | mfu: 4.8% | epoch: 1 | remaining: 270s    
step 00121 (10.1%) | loss: 4.953918 | lrm: 1.00 | dt: 277ms | tok/sec: 118,237 | mfu: 4.8% | epoch: 1 | remaining: 269s    
step 00122 (10.2%) | loss: 4.948038 | lrm: 1.00 | dt: 277ms | tok/sec: 118,291 | mfu: 4.8% | epoch: 1 | remaining: 269s    
step 00123 (10.3%) | loss: 4.941934 | lrm: 1.00 | dt: 275ms | tok/sec: 119,108 | mfu: 4.8% | epoch: 1 | remaining: 269s    
step 00124 (10.4%) | loss: 4.931962 | lrm: 1.00 | dt: 284ms | tok/sec: 115,525 | mfu: 4.7% | epoch: 1 | remaining: 269s    
step 00125 (10.5%) | loss: 4.924967 | lrm: 1.00 | dt: 274ms | tok/sec: 119,464 | mfu: 4.9% | epoch: 1 | remaining: 268s    
step 00126 (10.6%) | loss: 4.915613 | lrm: 1.00 | dt: 276ms | tok/sec: 118,560 | mfu: 4.8% | epoch: 1 | remaining: 268s    
step 00127 (10.7%) | loss: 4.913219 | lrm: 1.00 | dt: 277ms | tok/sec: 118,375 | mfu: 4.8% | epoch: 1 | remaining: 268s    
step 00128 (10.8%) | loss: 4.902961 | lrm: 1.00 | dt: 280ms | tok/sec: 117,129 | mfu: 4.8% | epoch: 1 | remaining: 267s    
step 00129 (10.8%) | loss: 4.891733 | lrm: 1.00 | dt: 278ms | tok/sec: 117,933 | mfu: 4.8% | epoch: 1 | remaining: 267s    
step 00130 (10.9%) | loss: 4.891319 | lrm: 1.00 | dt: 272ms | tok/sec: 120,483 | mfu: 4.9% | epoch: 1 | remaining: 267s    
step 00131 (11.0%) | loss: 4.876999 | lrm: 1.00 | dt: 278ms | tok/sec: 117,886 | mfu: 4.8% | epoch: 1 | remaining: 267s    
step 00132 (11.1%) | loss: 4.863377 | lrm: 1.00 | dt: 280ms | tok/sec: 117,008 | mfu: 4.8% | epoch: 1 | remaining: 266s    
step 00133 (11.2%) | loss: 4.855052 | lrm: 1.00 | dt: 277ms | tok/sec: 118,289 | mfu: 4.8% | epoch: 1 | remaining: 266s    
step 00134 (11.3%) | loss: 4.861499 | lrm: 1.00 | dt: 275ms | tok/sec: 119,166 | mfu: 4.8% | epoch: 1 | remaining: 266s    
step 00135 (11.4%) | loss: 4.863427 | lrm: 1.00 | dt: 284ms | tok/sec: 115,521 | mfu: 4.7% | epoch: 1 | remaining: 266s    
step 00136 (11.5%) | loss: 4.869002 | lrm: 1.00 | dt: 274ms | tok/sec: 119,442 | mfu: 4.9% | epoch: 1 | remaining: 265s    
step 00137 (11.6%) | loss: 4.861131 | lrm: 1.00 | dt: 278ms | tok/sec: 117,832 | mfu: 4.8% | epoch: 1 | remaining: 265s    
step 00138 (11.7%) | loss: 4.844845 | lrm: 1.00 | dt: 275ms | tok/sec: 119,226 | mfu: 4.8% | epoch: 1 | remaining: 265s    
step 00139 (11.8%) | loss: 4.823689 | lrm: 1.00 | dt: 283ms | tok/sec: 115,838 | mfu: 4.7% | epoch: 1 | remaining: 264s    
step 00140 (11.9%) | loss: 4.807630 | lrm: 1.00 | dt: 276ms | tok/sec: 118,629 | mfu: 4.8% | epoch: 1 | remaining: 264s    
step 00141 (12.0%) | loss: 4.799306 | lrm: 1.00 | dt: 278ms | tok/sec: 118,044 | mfu: 4.8% | epoch: 1 | remaining: 264s    
step 00142 (12.0%) | loss: 4.801439 | lrm: 1.00 | dt: 278ms | tok/sec: 117,877 | mfu: 4.8% | epoch: 1 | remaining: 264s    
step 00143 (12.1%) | loss: 4.796446 | lrm: 1.00 | dt: 275ms | tok/sec: 118,988 | mfu: 4.8% | epoch: 1 | remaining: 263s    
step 00144 (12.2%) | loss: 4.795245 | lrm: 1.00 | dt: 276ms | tok/sec: 118,568 | mfu: 4.8% | epoch: 1 | remaining: 263s    
step 00145 (12.3%) | loss: 4.791832 | lrm: 1.00 | dt: 276ms | tok/sec: 118,826 | mfu: 4.8% | epoch: 1 | remaining: 263s    
step 00146 (12.4%) | loss: 4.791562 | lrm: 1.00 | dt: 283ms | tok/sec: 115,698 | mfu: 4.7% | epoch: 1 | remaining: 262s    
step 00147 (12.5%) | loss: 4.783804 | lrm: 1.00 | dt: 273ms | tok/sec: 119,991 | mfu: 4.9% | epoch: 1 | remaining: 262s    
step 00148 (12.6%) | loss: 4.768769 | lrm: 1.00 | dt: 278ms | tok/sec: 117,666 | mfu: 4.8% | epoch: 1 | remaining: 262s    
step 00149 (12.7%) | loss: 4.764041 | lrm: 1.00 | dt: 275ms | tok/sec: 119,330 | mfu: 4.8% | epoch: 1 | remaining: 262s    
step 00150 (12.8%) | loss: 4.750274 | lrm: 1.00 | dt: 282ms | tok/sec: 116,047 | mfu: 4.7% | epoch: 1 | remaining: 261s    
step 00151 (12.9%) | loss: 4.739386 | lrm: 1.00 | dt: 275ms | tok/sec: 118,995 | mfu: 4.8% | epoch: 1 | remaining: 261s    
step 00152 (13.0%) | loss: 4.733218 | lrm: 1.00 | dt: 276ms | tok/sec: 118,645 | mfu: 4.8% | epoch: 1 | remaining: 261s    
step 00153 (13.1%) | loss: 4.729162 | lrm: 1.00 | dt: 280ms | tok/sec: 116,830 | mfu: 4.7% | epoch: 1 | remaining: 261s    
step 00154 (13.2%) | loss: 4.723326 | lrm: 1.00 | dt: 278ms | tok/sec: 117,833 | mfu: 4.8% | epoch: 1 | remaining: 260s    
step 00155 (13.2%) | loss: 4.722912 | lrm: 1.00 | dt: 273ms | tok/sec: 120,108 | mfu: 4.9% | epoch: 1 | remaining: 260s    
step 00156 (13.3%) | loss: 4.717632 | lrm: 1.00 | dt: 278ms | tok/sec: 117,809 | mfu: 4.8% | epoch: 1 | remaining: 260s    
step 00157 (13.4%) | loss: 4.712106 | lrm: 1.00 | dt: 279ms | tok/sec: 117,300 | mfu: 4.8% | epoch: 1 | remaining: 259s    
step 00158 (13.5%) | loss: 4.699092 | lrm: 1.00 | dt: 277ms | tok/sec: 118,462 | mfu: 4.8% | epoch: 1 | remaining: 259s    
step 00159 (13.6%) | loss: 4.690721 | lrm: 1.00 | dt: 276ms | tok/sec: 118,704 | mfu: 4.8% | epoch: 1 | remaining: 259s    
step 00160 (13.7%) | loss: 4.668918 | lrm: 1.00 | dt: 283ms | tok/sec: 115,989 | mfu: 4.7% | epoch: 1 | remaining: 259s    
step 00161 (13.8%) | loss: 4.672097 | lrm: 1.00 | dt: 277ms | tok/sec: 118,429 | mfu: 4.8% | epoch: 1 | remaining: 258s    
step 00162 (13.9%) | loss: 4.659506 | lrm: 1.00 | dt: 278ms | tok/sec: 117,668 | mfu: 4.8% | epoch: 1 | remaining: 258s    
